start,end
2017-08-12 13:57:57.000-05:00,2017-08-12 15:00:00.000-05:00
2017-08-12 19:44:44.000-05:00,2017-08-12 19:47:11.000-05:00
2017-08-13 08:15:41.000-05:00,2017-08-13 09:24:55.000-05:00
2017-08-13 09:55:07.000-05:00,2017-08-13 10:15:42.000-05:00
2017-08-13 10:55:19.000-05:00,2017-08-13 11:31:37.000-05:00
2017-08-13 12:13:56.000-05:00,2017-08-13 12:22:43.000-05:00
2017-08-13 13:58:29.000-05:00,2017-08-13 14:15:47.000-05:00
2017-08-13 15:51:54.000-05:00,2017-08-13 19:14:14.000-05:00
2017-08-13 19:53:35.000-05:00,2017-08-13 20:04:51.000-05:00
2017-08-14 09:39:11.000-05:00,2017-08-14 12:45:04.000-05:00
2017-08-14 22:10:00.000-05:00,2017-08-14 23:01:13.000-05:00
2017-08-14 23:12:41.000-05:00,2017-08-14 23:25:45.000-05:00
2017-08-15 10:32:41.000-05:00,2017-08-15 11:50:07.000-05:00
2017-08-15 22:08:31.000-05:00,2017-08-15 22:14:59.000-05:00
2017-08-15 22:19:29.000-05:00,2017-08-15 23:07:00.000-05:00
2017-08-16 10:34:55.000-05:00,2017-08-16 12:33:36.000-05:00
2017-08-16 16:23:55.000-05:00,2017-08-16 17:04:32.000-05:00
2017-08-21 10:36:52.000-05:00,2017-08-21 12:24:36.000-05:00
2017-08-21 14:25:54.000-05:00,2017-08-21 15:12:02.000-05:00
2017-08-21 15:15:17.000-05:00,2017-08-21 15:25:01.000-05:00
2017-08-21 15:15:17.000-05:00,2017-08-21 15:25:20.000-05:00
2017-08-21 15:30:54.000-05:00,2017-08-21 15:38:05.000-05:00
2017-08-21 16:43:22.000-05:00,2017-08-21 17:17:11.000-05:00
