start,end
2017-06-27 15:34:05.000-05:00,2017-06-27 19:23:56.000-05:00
2017-06-27 19:37:51.000-05:00,2017-06-27 20:12:55.000-05:00
2017-06-27 20:34:41.000-05:00,2017-06-27 21:05:13.000-05:00
2017-06-27 21:10:58.000-05:00,2017-06-27 22:14:30.000-05:00
2017-06-27 22:14:38.000-05:00,2017-06-28 02:02:05.000-05:00
2017-06-28 16:37:06.000-05:00,2017-06-28 17:14:15.000-05:00
2017-06-28 17:27:13.000-05:00,2017-06-28 19:04:53.000-05:00
2017-06-29 16:07:57.000-05:00,2017-06-29 17:40:29.000-05:00
2017-06-29 17:58:15.000-05:00,2017-06-29 19:18:11.000-05:00
2017-06-29 19:29:43.000-05:00,2017-06-29 19:42:04.000-05:00
2017-06-29 20:44:27.000-05:00,2017-06-29 21:53:08.000-05:00
2017-06-30 20:21:26.000-05:00,2017-07-01 00:24:28.000-05:00
2017-07-01 00:56:22.000-05:00,2017-07-01 03:31:15.000-05:00
2017-07-01 18:57:24.000-05:00,2017-07-02 00:01:09.000-05:00
2017-07-02 17:39:24.000-05:00,2017-07-02 20:29:38.000-05:00
2017-07-02 21:18:23.000-05:00,2017-07-02 22:12:37.000-05:00
2017-07-02 22:15:03.000-05:00,2017-07-02 22:23:56.000-05:00
2017-07-02 22:29:16.000-05:00,2017-07-03 00:31:52.000-05:00
