start,end
2017-08-19 12:21:21.000-05:00,2017-08-19 12:49:00.000-05:00
2017-08-19 20:20:00.000-05:00,2017-08-19 20:29:00.000-05:00
2017-08-20 13:53:35.000-05:00,2017-08-20 14:20:00.000-05:00
2017-08-21 11:16:24.000-05:00,2017-08-21 12:20:00.000-05:00
2017-08-21 17:40:00.000-05:00,2017-08-21 19:22:53.400-05:00
2017-08-22 11:27:36.000-05:00,2017-08-22 11:41:43.000-05:00
2017-08-28 17:44:00.000-05:00,2017-08-28 17:59:00.000-05:00
2017-08-29 11:56:24.000-05:00,2017-08-29 12:10:00.000-05:00
2017-08-29 18:50:00.000-05:00,2017-08-29 19:20:00.000-05:00
2017-08-30 11:06:00.000-05:00,2017-08-30 18:30:00.000-05:00
2017-08-31 11:55:00.000-05:00,2017-08-31 12:10:00.000-05:00
