start,end
2017-06-23 18:33:25.000-05:00,2017-06-23 18:50:29.000-05:00
2017-06-24 12:27:32.000-05:00,2017-06-24 12:30:56.000-05:00
2017-06-24 20:42:15.000-05:00,2017-06-24 21:40:09.000-05:00
2017-06-26 11:37:41.000-05:00,2017-06-26 12:15:00.000-05:00
2017-06-26 16:48:00.000-05:00,2017-06-26 17:40:00.000-05:00
2017-06-28 18:16:00.000-05:00,2017-06-28 20:30:00.000-05:00
2017-07-02 16:55:00.000-05:00,2017-07-02 17:02:00.000-05:00
2017-07-02 21:02:00.000-05:00,2017-07-02 21:30:00.000-05:00
2017-07-03 15:00:00.000-05:00,2017-07-03 16:00:00.000-05:00
2017-07-03 22:08:34.000-05:00,2017-07-03 22:30:00.000-05:00
2017-07-04 12:30:34.000-05:00,2017-07-04 12:40:00.000-05:00
